Date,Forecast
2017-12-31,10.30821164773902
2018-01-01,9.837544367987828
2018-01-02,7.619258916750017
2018-01-03,8.490581852350072
2018-01-04,8.638601760928607
2018-01-05,9.862704226618987
2018-01-06,8.311507744818236
2018-01-07,8.869298030738625
2018-01-08,8.561518119549785
2018-01-09,6.518387493523997
2018-01-10,7.572814298882128
2018-01-11,7.907397345219388
2018-01-12,9.31697338552665
2018-01-13,7.945667165176177
2018-01-14,8.673438792538395
2018-01-15,8.521682940186565
2018-01-16,6.616950312301934
2018-01-17,7.7889528012059515
2018-01-18,8.217646616042002
2018-01-19,9.695846765043575
2018-01-20,8.366328612880558
2018-01-21,9.108409696422708
2018-01-22,8.943565373325766
2018-01-23,6.999148265287992
2018-01-24,8.106372920809939
2018-01-25,8.447360459373348
2018-01-26,9.817697523825922
2018-01-27,8.363466651880858
2018-01-28,8.967743048166554
2018-01-29,8.656113493005622
