Date,Forecast
2017-12-31,78.74694690403354
2018-01-01,79.5711506255461
2018-01-02,79.56837099296456
2018-01-03,79.5683803672941
2018-01-04,79.56838033567911
2018-01-05,79.56838033578573
2018-01-06,79.56838033578538
2018-01-07,79.56838033578538
2018-01-08,79.56838033578538
2018-01-09,79.56838033578538
2018-01-10,79.56838033578538
2018-01-11,79.56838033578538
2018-01-12,79.56838033578538
2018-01-13,79.56838033578538
2018-01-14,79.56838033578538
2018-01-15,79.56838033578538
2018-01-16,79.56838033578538
2018-01-17,79.56838033578538
2018-01-18,79.56838033578538
2018-01-19,79.56838033578538
2018-01-20,79.56838033578538
2018-01-21,79.56838033578538
2018-01-22,79.56838033578538
2018-01-23,79.56838033578538
2018-01-24,79.56838033578538
2018-01-25,79.56838033578538
2018-01-26,79.56838033578538
2018-01-27,79.56838033578538
2018-01-28,79.56838033578538
2018-01-29,79.56838033578538
