Date,Forecast
2017-12-31,288.3378816769355
2018-01-01,99.5717706271424
2018-01-02,92.85070826846157
2018-01-03,173.84822601846363
2018-01-04,150.8578349578392
2018-01-05,103.92665056041068
2018-01-06,112.56500800319675
2018-01-07,230.42410986012288
2018-01-08,56.16513842605764
2018-01-09,64.85426914421006
2018-01-10,161.75835779408467
2018-01-11,154.7580794734718
2018-01-12,123.49256058417596
2018-01-13,147.07968003610176
2018-01-14,278.80379360894756
2018-01-15,116.99404732725503
2018-01-16,136.42747863914963
2018-01-17,242.13147537883142
2018-01-18,241.80220810206424
2018-01-19,214.95295880513612
2018-01-20,240.63645094520032
2018-01-21,372.132911634805
2018-01-22,207.82705690326338
2018-01-23,222.60827047664938
2018-01-24,321.6686615170647
2018-01-25,312.9157721437154
2018-01-26,276.1140475937828
2018-01-27,290.5993923753158
2018-01-28,409.95878345401775
2018-01-29,232.8983859769018
