Date,Forecast
2017-12-31,-20.551578065855843
2018-01-01,93.7567135854749
2018-01-02,123.13605538473642
2018-01-03,61.530350698001556
2018-01-04,-9.541302344028125
2018-01-05,24.18823315521493
2018-01-06,26.116824369733383
2018-01-07,-44.36809061458935
2018-01-08,75.01925143154637
2018-01-09,109.76307478901495
2018-01-10,53.66890783102976
2018-01-11,-11.883804851394238
2018-01-12,27.234386690799337
2018-01-13,34.28879890176045
2018-01-14,-31.45752250189404
2018-01-15,92.16775852357353
2018-01-16,130.54893356698713
2018-01-17,77.40728940690724
2018-01-18,14.055537031830283
2018-01-19,54.57530012419354
2018-01-20,62.203930073507784
2018-01-21,-3.8031403328723528
2018-01-22,118.73918531556068
2018-01-23,155.24788762326767
2018-01-24,99.49597500568797
2018-01-25,32.865589757677306
2018-01-26,69.52378048874354
2018-01-27,72.8072502659886
2018-01-28,2.0823423172968845
2018-01-29,119.65400903091374
